1,334,525,5,10,5.469851
2,352,535,4,7,5.496006
3,334,525,5,10,5.469851
3,352,535,4,7,5.496006
3,357,609,5,10,5.646512
3,196,588,4,7,5.793435
4,18,617,4,7,5.479796
4,269,567,4,7,5.605677
4,265,509,4,7,5.605719
4,408,118,4,7,5.652414
5,459,392,8,16,5.513697
5,368,543,4,7,5.532893
5,116,261,4,7,5.566505
6,88,516,4,7,5.297918
6,230,535,4,7,5.383102
6,399,299,4,7,5.641226
7,396,549,5,10,5.481051
7,268,280,4,7,5.488248
7,221,612,4,7,5.654116
8,221,619,5,10,5.048406
8,308,536,4,7,5.310665
8,143,536,4,7,5.398732
8,248,546,4,7,5.446073
9,213,575,4,7,5.344101
9,256,552,4,7,5.349691
9,358,619,4,7,5.352688
9,252,541,4,7,5.895101
10,202,397,4,7,5.397806
10,198,397,4,7,5.459975
10,179,556,4,7,5.520517
10,222,285,4,7,5.538107
11,431,572,7,13,5.452034
11,344,440,4,7,5.612636
11,348,440,4,7,5.722804
12,127,544,4,7,5.314082
12,278,570,4,7,5.409316
12,335,396,4,7,5.475459
12,125,544,4,7,5.480630
13,369,450,4,7,5.615210
13,246,600,4,7,5.723015
13,506,336,4,7,5.724681
14,212,563,4,7,5.420157
14,217,299,4,7,5.501078
14,293,574,4,7,5.508810
14,352,565,4,7,5.684149
15,246,23,4,7,5.197700
15,238,325,4,7,5.199128
15,85,297,4,7,5.212829
15,162,551,4,7,5.399104
16,248,327,4,7,5.261378
16,250,327,4,7,5.425414
16,77,100,4,7,5.488617
17,501,607,7,13,5.179850
17,237,296,5,10,5.212277
17,260,333,4,7,5.255303
17,263,333,4,7,5.641746
18,284,29,4,7,5.521654
18,275,29,4,7,5.576405
18,109,265,5,10,5.641379
18,107,265,5,10,5.643919
18,250,307,4,7,5.774374
19,354,610,4,7,5.166773
19,350,610,4,7,5.184960
19,9,339,4,7,5.266193
19,348,610,4,7,5.497621
20,255,418,4,7,5.369391
20,165,405,4,7,5.404939
20,257,418,4,7,5.550563
20,121,110,4,7,5.651982
20,414,606,5,10,5.668480
21,420,602,5,10,5.380623
21,267,620,4,7,5.449301
21,210,501,4,7,5.476570
21,267,623,4,7,5.565982
21,362,626,4,7,5.573869
22,51,509,4,7,5.386251
22,146,273,7,13,5.390592
22,287,619,4,7,5.412750
22,149,273,7,13,5.485122
22,285,619,4,7,5.789984
23,187,419,4,7,5.403593
23,51,512,4,7,5.447028
23,281,628,4,7,5.474926
23,291,628,4,7,5.565773
23,283,628,4,7,6.025180
24,395,253,4,7,5.318209
24,348,504,4,7,5.365569
24,397,253,4,7,5.477837
24,399,253,4,7,5.504808
25,359,329,4,7,0.594887
25,351,343,4,7,0.619124
25,349,523,4,7,0.621734
25,268,453,4,7,0.777414
26,207,614,4,7,0.478820
26,357,522,4,7,0.513211
26,264,337,4,7,0.520764
26,447,426,4,7,0.553844
26,349,232,5,10,0.631680
27,369,247,4,7,0.666041
27,56,551,4,7,0.680144
27,281,345,4,7,0.737520
27,386,553,4,7,0.808965
27,183,290,4,7,1.061310
28,193,292,4,7,0.629780
28,352,358,7,13,0.790753
28,355,374,4,7,0.849798
28,189,292,4,7,1.171055
29,426,626,4,7,0.614065
29,376,346,4,7,0.616222
29,116,512,4,7,0.630706
29,196,293,5,10,0.826448
30,440,405,4,7,5.465131
30,207,298,4,7,5.517780
30,389,494,4,7,5.564864
30,205,298,4,7,5.817194
31,383,510,4,7,0.592497
31,361,357,4,7,0.599846
31,359,356,4,7,0.688960
31,211,299,5,10,0.924018
32,383,379,7,13,0.570204
32,395,607,4,7,0.619377
32,159,522,4,7,0.743558
32,220,304,4,7,0.904149
33,246,468,4,7,5.442253
33,424,362,5,10,5.503673
33,42,206,4,7,5.515700
33,345,391,7,13,5.519539
33,186,135,4,7,5.524087
34,251,474,4,7,5.514227
34,117,582,4,7,5.629388
34,251,471,4,7,5.716938
34,249,513,4,7,5.838879
35,244,356,4,7,5.292328
35,138,548,5,10,5.339726
35,250,356,4,7,5.420476
35,135,548,5,10,5.448125
35,390,340,4,7,5.502533
36,263,482,4,7,5.308417
36,325,358,5,10,5.343797
36,411,427,4,7,5.355946
36,205,213,4,7,5.433314
37,387,381,4,7,5.276853
37,346,475,4,7,5.309407
37,421,404,4,7,5.401839
37,439,74,4,7,5.416609
37,251,317,7,13,5.592704
38,211,216,4,7,5.217735
38,120,588,4,7,5.257146
38,127,604,4,7,5.284962
38,205,216,4,7,5.718780
38,118,588,4,7,5.829170
39,434,413,4,7,5.229688
39,313,403,4,7,5.246415
39,397,370,7,13,5.307381
39,487,515,5,10,5.402355
39,273,369,4,7,5.488898
